id,priority,name,category,why,qty,est_price_usd,drawer,dims,confidence,source_url,status,part_no,vendor,tile,line_total,verified
A001,1,Shapeoko BitZero V2 touch probe,setup / measurement,"This is the single biggest real gap at the station: nothing on hand zeros work coordinates. Every job currently depends on manual jogging to a corner, which is slow and error-prone with student operators. This is the standard Carbide 3D probe for the job.",1,120,D2 (HAVE T063),,"verified (seen and priced on accessories collection page, fetched directly)",https://shop.carbide3d.com/products/bitzero-v2,owned,C3D-BITZERO2-SO5PRO,Carbide 3D,D2,0,owned per Jared 2026-09-11; now HAVE T063
A002,1,"Amana Tool 46170-K — 1/4"" compression spiral bit (up/down, Spektra coated)",cutter — sheet goods,"Nothing on hand cuts double-sided-clean in veneered Baltic birch ply. The starter pack's #251 downcut only protects the top face; a true compression bit is the standard choice for melamine/veneer ply where both faces show, which is most of what a school makerspace cuts.",2,87.35,"D1 Tile A, 1/4 row (63.5 OAL stands)",,verified (FastoolNow page title + price fetched 2026-09-11),https://fastoolnow.com/amana-46170-k-cnc-solid-carbide-spektra-extreme-tool-life-coated-compression/,ordered,46170-K,Amana via FastoolNow,A,174.7,"2026-09-11 title matches, $87.35; amanatool.com 403s on fetch"
A003,1,Spare 2-packs: #201 flat + #251 downcut endmills (high-wear spares),cutter — spares,"Spare stock of the highest-wear cutters: the starter pack has only 1-2 units each of #201 (1/4in flat) and #251 (1/4in downcut), the two bits every job will use most. Classroom breakage will strand the station mid-class with no consumable spares strategy, and B never addresses this. [skeptic added]",2,30,D1 (spares pocket),,inferred,https://shop.carbide3d.com/products/201-25-end-mill-cutter; https://shop.carbide3d.com/products/251-25-downcut-flat-cutter,struck,,,,0,struck 2026-09-11: re-specced as A026 (#201 2-pack) and A027 (#102 3-pack) with verified prices
A004,1,"3M Peltor-style earmuffs, NRR 22dB",PPE,"No hearing protection on hand; the VFD spindle and dust extraction both run loud enough in a shared shop to warrant it, and it's a baseline requirement for a student-operated machine station.",2,28,Drawer 2 (not tray-fitted — hangs on carcass exterior hook or shelf),,inferred,https://www.amazon.com/3m-ear-protection/s?k=3m+ear+protection,proposed,,,,56,"carried from 2026-09-03 list, not re-verified today"
A005,1,"Dial test indicator + magnetic flex-arm base (0.001"", 1"" range)",measurement — spindle tramming,"Carbide 3D's own community threads confirm the standard tramming method for a Shapeoko Pro/5 Pro spindle is a dial indicator chucked in the collet, swept across a reference plate. Nothing on hand does this, and a new VFD spindle mount should be trammed before first cut, not after chatter shows up.",1,45,"Drawer 2 (fitted pocket, indicator ~2"" dia dial + flex-arm base ~3"" x 2"")",,"verified for the need (thread read directly); inferred for the specific iGaging product spec, no single named product was confirmed in-thread — see also https://community.carbide3d.com/t/dial-indicator-purchase-help/25636",https://community.carbide3d.com/t/tramming-instructions/30340,proposed,,,,45,"carried from 2026-09-03 list, not re-verified today"
A006,1,"iGaging 6"" digital caliper",measurement,No caliper on hand; needed for stock thickness verification (critical for a compression bit's plunge depth) and bit diameter checks.,1,30,D2 (HAVE T062),,inferred,https://www.amazon.com/iGaging-6-Digital-Inside-Caliper/dp/B002PU5HHY,owned,,,D2,0,owned per Jared 2026-09-11; now HAVE T062
A007,1,"Amana Tool 46427 — 1/4"" O-flute single-flute downcut, acrylic/HDPE",cutter — plastics,"No plastics-rated cutter is on hand. A single O-flute clears chips instead of re-melting them into the kerf, which is what keeps acrylic and HDPE from gumming up — a 2-flute wood bit will chip acrylic and weld itself into HDPE.",1,52.09,"D1 Tile A, 1/4 row",,verified (ToolsToday page title + price fetched 2026-09-11; out of stock there today),https://toolstoday.com/v-12972-46427.html,proposed,46427,Amana via ToolsToday,A,52.09,"2026-09-11 title matches, $52.09, OUT OF STOCK at ToolsToday"
A008,1,3M SecureFit 400 safety glasses,PPE,No dedicated eye protection at the station; needed for chip/dust exposure during bit changes and any manual deburring/clean-up step done at the machine.,2,10,Drawer 2 (not tray-fitted — hangs on carcass exterior hook or shelf),,inferred,https://www.amazon.com/3M-Safety-Glasses/dp/B094XGGPSR,proposed,,,,20,"carried from 2026-09-03 list, not re-verified today"
A009,1,Double-Sided Tape for CNC,workholding — consumable,"Standard low-profile method for holding thin acrylic/HDPE sheet flat without clamp interference on the toolpath. Carbide 3D's own listing is currently sold out — source generic CNC-grade double-sided tape (e.g., a 3M product) elsewhere until it restocks.",1,18,Drawer 3 (divided compartment),,"verified (page fetched directly, confirmed sold out)",https://shop.carbide3d.com/collections/workholding,proposed,,,,18,"carried from 2026-09-03 list, not re-verified today"
A010,1,Threaded Inserts (Qty 100),workholding — spoilboard,Nothing on hand converts spoilboard mounting points into reusable threaded holes for fixtures/clamps beyond the T-track hardware already in the Crush-It and Essential Clamps kits. A box of inserts is what actually lets a spoilboard be re-drilled and re-used over a semester of student jobs instead of getting swiss-cheesed with bare screw holes.,1,16,"Drawer 3 (divided compartment, not tray-fitted)",,inferred (found via search; not directly fetched),https://shop.carbide3d.com/products/threaded-inserts-qty-100,proposed,,,,16,"carried from 2026-09-03 list, not re-verified today"
